"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s تم اضافتها بنجاح في قائمة الاماني. اضغط <a href=""%2$s"">here</a> لتكملة التسويق"
"%s's Wishlist","%s's قائمة الاماني"
"* Required Fields","* حقول مطلوبة"
"Add All to Cart","إضافة الكل إلى عربة التسوق"
"Add to Cart","إضافة إلى عربة التسوق"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Added On","اضافة على"
"Are You sure?","هل انت متاكد؟"
"Are you sure you want to remove this product from your wishlist?","هل أنت متأكد أنك تريد إزالة هذا المنتج من قائمة أمنياتك؟"
"Are you sure you would like to remove this item from the wishlist?","هل أنت متأكد أنك تود  إزالة هذاالمنتج من قائمة الأمنيات؟"
"Back","العودة"
"Can't save description %s","لا يمكن حفظ الوصف %s"
"Cannot create wishlist","لا يمكن إنشاء قائمة الأمنيات"
"Cannot specify product","لا يمكن تخصيص المنتج"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","التحقق من مربع الاختيار هذا اذا كنت تريد إضافة وصلة الى ار اس اس الخاصة بك الى الاماني."
"Comment","تعليق"
"Email Sender","مرسل البريد الإلكتروني"
"Email Template","قالب البريد الإلكتروني"
"Email address can't be empty.","عنوان البريد الالكتروني لا يمكن ان يكون فارغا."
"Email addresses, separated by commas","عناوين البريد الالكتروني ، تفصل بينها فواصل"
"Enabled","مفعل"
"General Options","خيارات عامة"
"Go to Wishlist","الذهاب إلى قائمة الأمنيات"
"Last Added Items","أخر السلع المضافة"
"Message","رسالة"
"My Wishlist","قائمة أمنياتي"
"My Wishlist (%d item)","قائمة أمنياتي (%d سلعة)"
"My Wishlist (%d items)","قائمة أمنياتي (%d سلع)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","الرجاء ادخال عناوين البريد الالكتروني ، تفصل بينها فواصل. فعلى سبيل المثال johndoe@domain.com ، johnsmith@domain.com."
"Please, enter your comments...","من فضلك قم بإدخال تعليقاتك..."
"Product","المنتج"
"RSS Feed","RSS تغذية"
"RSS link to %s's wishlist","RSS رابطة الى %s's قائمة الاماني"
"Remove Item","إزالة سلعة"
"Share Wishlist","مشاركة قائمة الأمنيات"
"Share Your Wishlist","مشاركة قائمة أمنياتك"
"Share options","خيارات المشاركة"
"Sharing Information","بيانات المشاركة"
"There was an error while adding item to wishlist.","هنا خطأ أثناء إضافة سلعة إلى قائمة الأمنيات."
"There was an error while adding item to wishlist: %s","هنا خطأ أثناء إضافة سلعة إلى قائمة الأمنيات: %s"
"There was an error while deleting item from wishlist.","هناك خطأ أثناء حذف سلعة من قائمة الأمنيات."
"There was an error while deleting item from wishlist: %s","هناك خطأ أثناء حذف سلعة من قائمة الأمنيات: %s"
"This product(s) is currently out of stock:","هذه المنتجات هي حاليا غير موجوده في المخزن:"
"Update Wishlist","تحديث قائمة الأمنيات"
"View Product","عرض المنتج"
"Wishlist","قائمة الأمنيات"
"Wishlist Section","قسم قائمة أمنياتي"
"Wishlist Sharing","مشاركة قائمة الأمنيات"
"Wishlist is empty now.","قائمة الأمنيات فارغة الآن."
"You have no items in your wishlist.","ليس لديك أي سلع في قائمة أمنياتك."
"You input not valid email address.","مدخلاتك غير موجوده في عنوان البريد الالكتروني."
"Your Wishlist was successfully shared","تم مشاركة قائمة أمنياتك بنجاح"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","قائمة أمنياتي"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
