<<<<<<< HEAD
"1 star","نجمة واحدة"
"2 stars","نجمتان"
"3 stars","ثلاثة نجوم"
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"Add New Rating","اضف تقييما جديدا"
"Assigned Options","الخيارات المخصصة"
"Be the first to review this product","كن اول من يقيم و يراجع هذا المنتج"
"Default Value","القيمة الاعتيادية"
"Delete Rating","احذف تقييما"
"Edit Rating","حرر تقييما"
"ID","المعرف"
"If you do not specify a rating title for a store, the default value will be used.","اذا لم تحدد عنوانا للتقييم سيتم استخدام القيمة الاعتيادية."
"Manage Ratings","ادارة التقييمات"
"New Rating","تقيما جديدا"
"Option Label","عنوان الاختيار"
"Option Title","عنوان الاختيار"
"Option Title:","عنوان الاختيار:"
"Please select one of each ratings above","من فضلك اختر تقيما من التقييمات بالاعلى"
"Rating Information","معلومات التقييم"
"Rating Name","اسم التقييم"
"Rating Options","خيارات التقييم"
"Rating Title","عنوان التقييم"
"Rating Visibility","تصنيف الرؤية"
"Rating isn't Available","التقييم غير متاح"
"Rating with the same title","هناك تقييم بنفس العنوان"
"Save Rating","احفظ التقييم"
"Visible In","مرئية فى"
=======
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"Be the first to review this product","كن اول من يقيم و يراجع هذا المنتج"
"1 star","نجمة واحدة"
"2 stars","نجمتان"
"Rating with the same title","هناك تقييم بنفس العنوان"
"Please select one of each ratings above","من فضلك اختر تقيما من التقييمات بالاعلى"
"Visible In","مرئية فى"
"Rating Information","معلومات التقييم"
"Default Value","القيمة الاعتيادية"
"ID","المعرف"
"Rating isn't Available","التقييم غير متاح"
"Assigned Options","الخيارات المخصصة"
"Save Rating","احفظ التقييم"
"Delete Rating","احذف تقييما"
"Manage Ratings","ادارة التقييمات"
"If you do not specify a rating title for a store, the default value will be used.","اذا لم تحدد عنوانا للتقييم سيتم استخدام القيمة الاعتيادية."
"Rating Name","اسم التقييم"
"Add New Rating","اضف تقييما جديدا"
"New Rating","تقيما جديدا"
"Rating Visibility","تصنيف الرؤية"
"3 stars","ثلاثة نجوم"
"Edit Rating","حرر تقييما"
"Rating Options","خيارات التقييم"
"Option Title","عنوان الاختيار"
"Option Label","عنوان الاختيار"
"Option Title:","عنوان الاختيار:"
"Rating Title","عنوان التقييم"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
