"Alert Email Sender","تنبيه البريد الالكتروني للمرسل"
"Alert subscription was deleted successfully","تم حذف اشتراك التنبيه بنجاح"
"Alert subscription was saved successfully","تم حفظ اشتراك التنبيه بنجاح"
"Allow alert when product comes back in stock","السماح بالتنبيه عندما يتوافر المنتج بالمخزون ثانية"
"Allow alert when product price changes","السماح بالتنبيه عندما يتغير سعر المنتج"
"Click here not to receive alerts for this product","الضغط هنا لعدم تلقي تنبيهات لهذا المنتج"
"Error Email Recipient","خطاء في البريد الالكتروني التلقى"
"Error Email Sender","خطاء في البريد الالكتروني المرسل"
"Error Email Template","خطاء في قالب البريد الالكتروني"
"Frequency","تردد"
"Not enough parameters","بريمترات غير كافية"
"Please try again later","من فضلك حاول مرة أخرى"
"Price alert Email Template","سعر تنبيه قالب البريد الالكتروني"
"Price:","السعر:"
"Product Alerts","تنبيهات المنتج"
"Product Alerts Run Settings","تنبيهات وضع تثبيت المنتج"
"Product alerts Cron error","تنبيهات خاطئه لجوهر المنتج"
"Product not found","المنتج غير موجود"
"Product price alert","تنبيه سعر المنتج"
"Product stock alert","تنبيه مخزون المنتج"
"Sign up for price alert","الاشتراك في تنبيه السعر"
"Sign up to get notified when this product is back in stock","الاشتراك لتلقي تنبيه عندما يتوافر هذا المنتج بالمخزون ثانية"
"Special price:","سعر خاص:"
"Start Time","وقت البدء"
"Stock alert Email Template","تنبيه البريد الالكتروني المخزون القالب"
"Unsubscribe from all price alerts","إلغاء الاشتراك من كل تنبيهات السعر"
"Unsubscribe from all stock alerts","إلغاء الاشتراك من كل تنبيهات المخزون"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","يتم تلقي هذا الاخطار لأنك مشترك في تلقي التنبيهات عندما المنتجات التالية هي العودة في الأسهم:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","يتم تلقي هذا الاخطار لأنك مشترك في تلقي التنبيهات عندما اسعار المنتجات التالية للتغيير:"
"You will no longer receive price alerts for this product","لن تتلقى اي تنبيهات على الاسعار عن هذا المنتج"
"You will no longer receive stock alerts","لن تتلقي تنبيهات المخزون ثانية"
"You will no longer receive stock alerts for this product","لن تتلقي تنبيهات المخزون لهذا المنتج ثانية"
