"--Select--","--اختيار--"
"Add New Option","اضف خيارا جديدا"
"Add Selection","إضافة اختيار"
"As low as","قليل بدرجة"
"Bundle Items","عناصر الحزمة"
"Bundle Product","منتجات الحزمة"
"Buy %1$s with %2$s discount each","شراء %1$s مع %2$s خصم للكل"
"Checkbox","مربع اختيار"
"Choose a selection...","حدد اختيارا..."
"Close","إنهاء"
"Default","إفتراضي"
"Default Qty","كمية إفتراضية"
"Default Title","عنوان إفتراضي"
"Drop-down","المنسدلة"
"Dynamic","ديناميكي"
"Excl. Tax","بدون ضرائب"
"Fixed","ثابت"
"From","من"
"From:","المرسل:"
"Gift Message","بطاقة هدية"
"Incl. Tax","Incl. Tax"
"Input Type","نوع الإدخال"
"Is Required","مطلوب"
"Message:","نص الرسالة:"
"Multiple Select","اختيار متعدد"
"N/A","غير متاح"
"No options of this product are available.","لايوجد خيارات متاحة لهذا المنتج"
"None","لايوجد"
"Percent","بالمئة"
"Percent Discount","حسم بالمئة"
"Please enter search conditions to view products.","الرجاء إدخال شروط البحث لعرض المنتجات"
"Please select options for product.","الرجاء حدد خيارات للمنتج"
"Please select products to add","الرجاء تحديد المنتجات للإضافة"
"Please specify product option(s)","الرجاء تخصيص خيار(ات) المنتج"
"Position","مكان"
"Price Range","السعر يترواح"
"Price Type","نوع السعر"
"Price as configured","السعر كما تم تحديده"
"Qty:","الكمية:"
"Radio Buttons","أزرار الخيار"
"Required options not selected.","الخيارات المطلوبة لم يتم اختيارها"
"Selected required options not available.","الخيارات المطلوبة المحددة غير متاحة"
"Separately","على حدة"
"Ship Bundle Items","شحن حزمة المواد"
"Shipment","شحنة"
"Store View Title","عنوان منظر المتجر"
"There is no defined renderer for ""%s"" option type","ليس هناك تعريف لنوع العارض ""٪ S"" نوع الخيار"
"This product is also part of bundle(s)","هذا المنتج  جزء من الحزمة"
"To","إلى"
"To:","المرسل إليه:"
"Together","معاً"
"User Defined Qty","الكمية المعرفة من المستخدم"
