"%d Review(s)","%d مشاهدة(s)"
"%s Review(s)","%s مشاهدة(s)"
"(Posted on %s)","(تلصق في %s)"
"1 star","1 نجمة"
"2 stars","2 نجوم"
"3 stars","3 نجوم"
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"SKU","SKU"
"How do you rate this product?","كيف تقيم هذا المنتج؟"
"All Reviews","كل التقييمات"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Write Your Own Review","كتابة مراجعتك"
"Your review has been accepted for moderation","لقد تم قبول مراجعتك للإشراف"
"Back","للخلف"
"You have submitted no reviews.","لم تقم بإرسال أية مراجعات."
"Unable to post review. Please, try again later.","لا يمكن نشر المراجعة. من فضلك حاول مرة أخرى."
"Are you sure you want to do this?","هل أنت متأكد من فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Summary of Your Review","ملخص مراجعتك"
"Summary of review","ملخص المراجعة"
"Summary of Review","ملخص المراجعة"
"Please select a product","من فضلك قم باختيار منتج"
"Please select one of each of the ratings above","من فضلك قم باختيار إحدي التقييمات بالأعلى"
"Product SKU","منتج SKU"
"Average Customer Rating","متوسط تقييم العميل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Visible Ins","مرئي Ins"
"Product Reviews","مراجعات المنتج"
"Customer Reviews","مراجعات العميل"
"New Review","مراجعة جديدة"
"Your Review (submitted on %s):","مراجعتك (أرسلت في %s):"
"Store Views","مشاهدات المتجر"
"OR","أو"
"You're reviewing: %s","أنت تراجع: %s"
"Submit Review","إرسال مراجعة"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Add to Compare","إضافة إلى المقارنة"
"Add to Cart","إضافة إلى عربة التسوق"
"Add Items to Cart","إضافة السلع إلى عربة التسوق"
"Add New Review","إضافة تقييم جديد"
"Add Your Review","إضافة تقييمك"
"Qty","الكمية"
"Nickname","اللقب"
"Type","النوع"
"Product","المنتج"
"Administrator","المدير"
"Review","المراجعة"
"Name","الاسم"
"Name In Store","الاسم بالمتجر"
"Availability: Out of stock.","التواجد: نفد من المخزون"
"Availability: In stock.","التواجد: بالمخزون"
"Detailed Rating","التقييم المفصل"
"Rating:","التقييم:"
"Status","الحالة"
"ID","الرمز التعريفي"
"Price","السعر"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Back to Main Product Info","العودة إلى بيانات المنتج الرئيسية"
"Back to My Reviews","العودة إلى تقييماتي"
"Title","العنوان"
"Customer","العميل"
"Posted By","الصقت بواسطة"
"Created On","انشئت في"
"Product Name","اسم المنتج"
"My Product Reviews","استعراضات منتجاتي"
"Product Review (submitted on %s):","استعراضات المنتج (الصقت في  %s):"
"My Recent Reviews","استعراضاتي الاخيرة"
"Review by %s","استعرضت بواسطة %s"
"Review Details","تفاصيل المراجعة"
"Zoom In","تكبير"
"Summary Rating","تقييم الملخص"
"Product Rating","تقييم المنتج"
"Product Rating:","تقييم المنتج:"
"Your Rating:","تقييمك:"
"Edit Review '%s'","تحرير المراجعة '%s'"
"Pending Reviews","تعليق الاستعراضات"
"Zoom Out","تصغير"
"Save Review","حفظ المراجعة"
"Update status","حالة التحديث"
"Delete","حذف"
"Delete Review","حذف مراجعة"
"Guest","زائر"
"Buy %s for %s","شراء %s لل %s"
"Visible In","ظهرت في "
"View All Reviews","عرض كل المراجعات"
"View Details","عرض التفاصيل"
